Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S배,S우유(200ml),수수밥,감잣국,닭가슴살호두조림,미역줄기볶음,배추김치,S간장비빔국수,S보리차,흑미밥,쇠고기된장국,연두부+양념장,김구이,배추김치
S우유(200ml),,쇠고기배추밥+양념장,유부장국,,과일샐러드,깍두기,S시루떡,S보리차,차조밥,김칫국,채소달걀찜,콩나물무침,깍두기
S귤,S우유(200ml),수수밥,버섯된장국,돼지고기볶음,(고춧가루제외)상추겉절이,깍두기,S채소주먹밥,S보리차,검정콩밥,배추된장국,쇠고기우엉조림,파래무침,깍두기
S브로콜리죽,,백미밥,갈비탕,맛살전,멸치볶음,배추김치,S버터감자구이,S우유(150ml),흑미밥,두부된장국,돼지고기수육,양배추숙쌈+쌈장,깍두기
S바나나,,닭고기카레라이스,미소장국,,오이무침,배추김치,S꿀떡,S우유(150ml),차조밥,감자양팟국,고등어구이,브로콜리초무침,배추김치
S딸기,S우유(200ml),수수밥,온도토리묵국,치즈달걀말이,배추된장무침,깍두기,S소보로빵,S보리차,백미밥,북엇국,간장닭갈비,오이샐러드,배추김치
S사과,S우유(200ml),기장밥,청경채된장국,쇠고기파인애플볶음,콩가루부추찜,깍두기,S단호박샐러드,S보리차,수수밥,조갯살맑은국,돼지간장불고기,숙주나물,배추김치
S우유(200ml),,돼지불고기덮밥,미역국,,S키위,깍두기,S개피떡,S보리차,흑미밥,청국장찌개,해물찜,도토리묵김무침,깍두기
S배,S우유(200ml),차조밥,오징어국,연두부+양념장,연근튀김,배추김치,S우동,,백미밥,조갯살부추맑은국,쇠고기단호박찜,청경채나물,깍두기
S참치채소죽,,수수밥,시금치된장국,돼지고기장조림,콩나물무침,배추김치,S찐고구마,S우유(150ml),기장밥,순두부백탕,오징어떡볶음,김구이,배추김치
S씨리얼,S우유(200ml),새우채소볶음밥,애호박맑은국,,S사과,배추김치,S핫도그,S보리차,수수밥,콩나물국,돼지고기피망볶음,견과류시금치무침,배추김치
S딸기,S우유(200ml),백미밥,달걀국,완자전,깻잎나물,배추김치,S호떡,S보리차,검정콩밥,새우맑은국,찜닭,애호박전,배추김치
S바나나,,백미밥,바지락미역국,돼지불고기,감자조림,배추김치,S케이크,S우유(150ml),기장밥,콩비지찌개,고등어구이,청경채나물,배추김치
S귤,S우유(200ml),흑미밥,유부장국,닭떡간장조림,양배추나물,깍두기,S동태전,S보리차,수수밥,새우살미역국,햄채소볶음,봄동나물,배추김치
S우유(200ml),,쇠고기부추볶음밥,홍합탕,,오이토마토샐러드(발사믹드레싱),깍두기,S크로와상,S보리차,백미밥,북엇국,돼지고기된장구이,상추초무침,깍두기
S키위,S우유(200ml),백미밥,감잣국,달걀장조림,유채나물된장무침,배추김치,S김가루주먹밥,,수수밥,양배추된장국,닭살연근조림,멸치파프리카볶음,깍두기
S흑임자죽,,수수밥,떡국,돼지고기깻잎볶음,우엉조림,배추김치,S과일샐러드,S우유(150ml),차조밥,유채된장국,쇠고기감자조림,파래무침,배추김치
S바나나,,오징어덮밥,콩비지찌개,,참나물유자청무침,깍두기,S백설기,S우유(150ml),백미밥,돈육김치찌개,두부부침+양념장,오이부추무침,깍두기
S배,S우유(200ml),흑미밥,다시마무챗국,닭갈비구이,느타리버섯나물,배추김치,S핫케이크,S보리차,기장밥,어묵국,오징어채소볶음,참나물무침,깍두기
S사과,S우유(200ml),수수밥,근대된장국,쇠갈비찜,명엽채볶음,배추김치,S연두부샐러드(오리엔탈드레싱),S보리차,찹쌀현미밥,북엇국,닭살연근조림,파래무침,배추김치
S우유(200ml),,돈육짜장밥,미소장국,물만두,S귤,깍두기,S가래떡구이,S보리차,백미밥,닭곰탕,새우살볶음,무나물,배추김치
S귤,S우유(200ml),검정콩밥,냉이된장국,짜장닭볶음,숙주나물,배추김치,S볶음우동,,백미밥,순두부찌개,쇠고기브로콜리볶음,근대나물,배추김치
S김치치즈죽,,차조밥,바지락미역국,메추리알케첩조림,애호박나물,깍두기,S크림빵,S우유(150ml),기장밥,버섯맑은국,닭봉조림,냉이된장무침,깍두기
S씨리얼,S우유(200ml),돼지고기김치볶음밥,콩나물국,,감자채볶음,깍두기,S마카로니채소샐러드,S보리차,수수밥,달걀국,햄채소볶음,토마토치커리무침,배추김치
S사과,S우유(200ml),백미밥,두부된장국,쇠고기불고기,브로콜리초무침,배추김치,S고구마맛탕,S보리차,흑미밥,우렁이된장국,파돼지불고기,콩나물김무침,배추김치
S딸기,S우유(200ml),수수밥,만둣국,삼치구이,봄동나물,깍두기,S증편,S보리차,백미밥,새우맑은국,소불고기,청경채나물,배추김치
S우유(200ml),,참치주먹밥,미니칼국수,,S바나나,배추김치,S단팥빵,S보리차,차조밥,시래기된장국,닭가슴살호두조림,부추무침,깍두기
S오렌지,S우유(200ml),흑미밥,애호박된장국,소시지전,취나물볶음,깍두기,S온도토리묵밥,,수수밥,봄동된장국,쇠고기폭찹,곤드레나물볶음,깍두기
S시금치죽,,검정콩밥,청경채된장국,돼지고기단호박찜,미역줄기볶음,깍두기,S감자샐러드,S우유(150ml),백미밥,청국장찌개,닭고기간장조림,유채나물무침,깍두기
S바나나,,장조림버터비빔밥,무들깻국,,부추나물,배추김치,S절편,S우유(150ml),기장밥,유부장국,돼지고기볶음,청경채나물,깍두기
S배,S우유(200ml),기장밥,매생이홍합국,두부스테이크,오이무침,깍두기,S연근강정,S보리차,흑미밥,쇠고깃국,참치채소볶음,무생채,배추김치
S키위,S우유(200ml),백미밥,새우맑은국,채소달걀찜,깻잎지,배추김치,S김치전,S보리차,차조밥,콩나물국,닭가슴살단호박조림,봄동나물,배추김치
S우유(200ml),,닭가슴살파프리카볶음밥,북엇국,궁중떡볶이,,배추김치,S소보로빵,S보리차,검정콩밥,콩가루배추국,고등어조림,오이나물,깍두기
S사과,S우유(200ml),검정콩밥,감자양팟국,쇠고기양배추볶음,콩나물무침,깍두기,S유부초밥,,백미밥,근대된장국,돼지고기미나리볶음,우엉조림,깍두기
S브로콜리된장죽,,기장밥,닭개장,두부양념조림,파래전,배추김치,S찐빵,S우유(150ml),차조밥,미역국,쇠고기숙주볶음,감자조림,배추김치
S씨리얼,S우유(200ml),새우파래볶음밥,버섯된장국,동그랑땡전,,배추김치,S개피떡,S보리차,수수밥,두부맑은국,닭가슴살데리야끼조림,브로콜리볶음,깍두기
S딸기,S우유(200ml),백미밥,조갯살부추맑은국,김달걀말이,시금치나물,깍두기,S어묵잡채,S보리차,검정콩밥,김칫국,가자미구이,버섯들깨나물,깍두기
S바나나,,백미밥,미역국,쇠고기불고기,봄동나물,깍두기,S케이크,S우유(150ml),흑미밥,수제비국,두부구이+양념장,김치전,깍두기
S딸기,S우유(200ml),차조밥,버섯맑은국,삼치레몬구이,상추쑥갓무침,깍두기,S약식,S보리차,백미밥,뭇국,돼지고기미나리볶음,연근조림,배추김치
S방울토마토,S우유(200ml),찹쌀현미밥,두부된장국,쇠고기산적,양배추건새우볶음,깍두기,S단호박튀김,S보리차,기장밥,김칫국,삼치카레구이,느타리버섯나물,깍두기
S우유(200ml),,하이라이스,북엇국,,돌나물흑임자샐러드,배추김치,S롤빵,S보리차,수수밥,배추맑은국,닭채볶음,고사리나물,깍두기
S배,S우유(200ml),기장밥,냉이된장국,임연수무조림,옥수수전,배추김치,S버터감자구이,S보리차,백미밥,떡국,쇠고기브로콜리볶음,돌나물유자청무침,깍두기
S닭죽,,검정콩밥,콩나물국,돼지불고기,상추겉절이,깍두기,S푸실리샐러드,S우유(150ml),검정콩밥,감자고추장찌개,임연수구이,냉이나물,깍두기
S바나나,,참치김치볶음밥,두부맑은국,달걀후라이,,깍두기,S모카빵,S우유(150ml),수수밥,미역국,돼지고기오이볶음,콩나물무침,배추김치
S사과,S우유(200ml),흑미밥,봄동된장국,쇠고기곤약조림,참나물무침,깍두기,S백설기,S보리차,흑미밥,달걀국,참치채소볶음,파프리카잡채,배추김치
S딸기,S우유(200ml),수수밥,바지락맑은국,두부데리야끼소스구이,팽이버섯볶음,배추김치,S잔치국수,,찹쌀현미밥,쇠고깃국,맛살전,봄동나물,깍두기
S우유(200ml),,짜장면,,춘권튀김,S방울토마토,배추김치,S쑥떡,S보리차,차조밥,북엇국,돼지고기숙주볶음,시금치나물,배추김치
S사과,S우유(200ml),흑미밥,온도토리묵국,닭봉구이,돌나물초무침,배추김치,S김가루주먹밥,S보리차,백미밥,달래두부된장국,쇠고기청경채볶음,고사리나물,깍두기
S브로콜리스프,,수수밥,뭇국,오징어볶음+소면,취나물무침,배추김치,S찐고구마,S우유(150ml),검정콩밥,콩비지찌개,찜닭,도토리묵무침,깍두기
S씨리얼,S우유(200ml),쇠고기불고기덮밥,배추맑은국,,단호박샐러드,깍두기,S물만두,S보리차,차조밥,오징엇국,완자전,취나물된장무침,배추김치
S딸기,S우유(200ml),검정콩밥,달걀국,두부채소볶음,느타리버섯나물,깍두기,S가래떡구이,S보리차,흑미밥,유부장국,쇠고기단호박조림,배추나물,깍두기
S키위,S우유(200ml),기장밥,시금치된장국,돼지갈비찜,숙주나물,배추김치,S새우튀김,S보리차,찹쌀현미밥,버섯들깨탕,김달걀말이,멸치호두조림,배추김치
S우유(200ml),,닭가슴살굴소스볶음밥,유부장국,채소전,,깍두기,S달걀토스트,S보리차,백미밥,쇠고기미역국,삼치구이,양배추나물,깍두기
S방울토마토,S우유(200ml),찹쌀현미밥,김칫국,쇠고기파프리카볶음,연근조림,깍두기,S절편,S보리차,기장밥,부추새우맑은국,돼지고기파인애플볶음,시금치나물,깍두기
S사과,S우유(200ml),흑미밥,근대된장국,베이컨달걀찜,무나물,배추김치,S간장떡볶이,S보리차,검정콩밥,시래기된장국,쇠고기볶음,깻잎지,배추김치
S바나나,,곤드레나물밥+양념장,애호박된장국,닭가슴살샐러드(머스타드소스),,배추김치,S마늘빵,S우유(150ml),수수밥,어묵국,두부케첩조림,무생채,배추김치
S채소죽,,백미밥,두부맑은국,돼지고기숙주볶음,양배추숙쌈+쌈장,깍두기,S찐감자,S우유(150ml),차조밥,애호박젓국찌개,간장닭갈비,곤드레나물,배추김치
S딸기,S우유(200ml),기장밥,청국장찌개,코다리양념찜,유채나물무침,깍두기,S크림소스스파게티,S보리차,찹쌀현미밥,양배추된장국,돼지고기채소조림,감자채볶음,깍두기
S우유(200ml),,백미밥,크림스프,돈까스,양상추샐러드(키위드레싱),깍두기,S수제비,S보리차,흑미밥,달걀국,가자미구이,숙주나물,배추김치
S키위,S우유(200ml),차조밥,순두부찌개,새우살볶음,미나리나물,배추김치,S치즈주먹밥,S보리차,백미밥,유채된장국,코다리강정,오이무침,배추김치
S채소스프,,찹쌀현미밥,콩가루쑥국,돼지고기장조림,애호박나물,배추김치,S슈크림빵,S우유(150ml),기장밥,미니우동,두부간장조림,땅콩우엉무침,깍두기
S씨리얼,S우유(200ml),닭가슴살채소볶음밥,바지락미역국,,양배추샐러드(사우전아일랜드드레싱),깍두기,S연근어묵,S보리차,흑미밥,콩나물국,함박스테이크,애호박전,배추김치
S딸기,S우유(200ml),수수밥,만둣국,두부구이+양념장,브로콜리초무침,배추김치,S증편,S보리차,검정콩밥,매콤북엇국,어묵채소볶음,양배추나물,깍두기
S사과,S우유(200ml),백미밥,배추된장국,고등어카레구이,냉이나물,깍두기,S참치채소전,S보리차,차조밥,두부전골,오징어볶음,브로콜리숙회+흑임자소스,배추김치
S우유(200ml),,오므라이스,김칫국,,S방울토마토,깍두기,S소보로빵,S보리차,수수밥,어묵국,연두부+양념장,시금치나물,배추김치
S바나나,,백미밥,미역국,돼지갈비찜,돌나물무침,배추김치,S케이크,S우유(150ml),차조밥,부추달걀국,궁중떡볶이,콩나물무침,배추김치
S배,S우유(200ml),백미밥,미역국,돼지고기수육,쌈채소+쌈장,깍두기,S옥수수빵,S보리차,흑미밥,냉이된장국,닭봉조림,배추나물,깍두기
S아욱된장죽,,기장밥,안매운김칫국,쇠고기폭찹,오이초절임,깍두기,S찐감자,S우유(150ml),수수밥,버섯찌개,고등어구이,열무된장무침,배추김치
S바나나,,돈육짜장밥,미소장국,군만두,,배추김치,S개피떡,S우유(150ml),찹쌀현미밥,아욱된장국,쇠고기오이볶음,감자조림,배추김치
S키위,S우유(200ml),차조밥,두부찌개,닭가슴살피망볶음,톳나물무침,배추김치,S간장소면무침,S보리차,기장밥,돼지고기된장찌개,새우채소볶음,숙주나물,배추김치
S딸기,S우유(200ml),수수밥,우렁이된장국,대구구이,우엉조림,배추김치,S치즈스크램블에그,S보리차,백미밥,닭개장,두부데리야끼소스구이,비름나물,배추김치
S우유(200ml),,안매운김치볶음밥,애호박맑은국,치킨너겟+토마토케첩,,깍두기,S쑥떡,S보리차,수수밥,바지락맑은국,돈사태장조림,취나물된장무침,깍두기
S방울토마토,S우유(200ml),기장밥,어묵국,쇠고기불고기,견과류시금치무침,깍두기,S채소주먹밥,S보리차,차조밥,참치김치찌개,채소달걀말이,애호박새우젓볶음,깍두기
S고구마스프,,찹쌀현미밥,버섯맑은국,영양찜닭,청경채나물,깍두기,S식빵토스트,S우유(150ml),흑미밥,시금치된장국,볼어묵볶음,돌나물초무침,배추김치
S씨리얼,S우유(200ml),봄나물비빔밥,근대된장국,달걀후라이,S치즈스틱,배추김치,S옥수수버터구이,S보리차,수수밥,청경채된장국,닭가슴살고구마볶음,느타리버섯나물,깍두기
S오렌지,S우유(200ml),백미밥,무들깻국,두부찹쌀가루부침,브로콜리된장무침,깍두기,S절편,S보리차,검정콩밥,숙주맑은국,쇠고기깻잎볶음,근대나물,배추김치
S키위,S우유(200ml),수수밥,우거지된장국,돼지고기볶음,가지나물,깍두기,S고로케,S보리차,기장밥,만둣국,해물파전,브로콜리숙회+초고추장,배추김치
S우유(200ml),,닭갈비덮밥,북엇국,,과일샐러드,배추김치,S모닝빵,S보리차,찹쌀현미밥,미역국,쇠고기불고기,참나물무침,깍두기
S사과,S우유(200ml),흑미밥,부추달걀국,새우살케첩볶음,연근흑임자소스무침,배추김치,S쇠고기주먹밥,S보리차,백미밥,시래기된장국,닭떡간장조림,가지구이무침,배추김치
S채소죽,,기장밥,설렁탕,맛살채소볶음,콩나물김무침,배추김치,S크림빵,S우유(150ml),수수밥,두부된장국,새우파프리카볶음,부추겉절이,깍두기
S바나나,,치킨마요덮밥,유부장국,,상추사과무침,깍두기,S고구마맛탕,S우유(150ml),차조밥,콩나물국,돼지갈비찜,머위나물,배추김치
S방울토마토,S우유(200ml),백미밥,감자양팟국,쇠고기잡채,애호박나물,배추김치,S들깨수제비,,흑미밥,배추맑은국,카레닭가슴살볶음,김구이,깍두기
